,,,,,Prämien – Grundversicherung,,,,,,,
,,,,,Primes – Assurance de base,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
574.5,567.8,533.7,504.5,475.3,446.2,"Visana, Med Direct",537,530.7,498.8,471.5,444.3,417
598.7,587,557.9,528.7,499.5,470.4,"Vivacare, Med Direct",559.6,548.7,521.4,494.1,466.9,439.6
558.1,546.4,517.2,488.1,458.9,429.7,"Vivao Sympany, callmed 24",519.1,508.2,481,454,426.8,399.7
564.3,552.7,523.5,494.3,465.2,436,"Vivao Sympany, casamed hausarzt",524.8,514.1,486.9,459.7,432.7,405.5
545.5,533.9,504.7,475.5,446.4,417.2,"Vivao Sympany, casamed pharm",507.4,496.6,469.4,442.3,415.2,388
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,6/28,,Septembre 2023,,review-2023-09-24,,
,,,,,,Prämien – HMO,,,,,,
,,,,,,Primes – HMO,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
